guid,id,sort-index,frequency-rank,frequency,part-of-speech,word,word-romanization,definition,sentence,sentence-romanization,sentence-meaning,word-audio,sentence-audio,word-auido-source,sentence-auido-source,tags
eC|zBcKmla,6abd761e-a7b6-496f-a027-1e8f1966d747,1,2,97 | 322841,Verb,بودن,budan,to be,جونِز <b>هستم</b>.,Jonez hastam.,(I) am Jones.,[sound:6abd761e-a7b6-496f-a027-1e8f1966d747_word.mp3],[sound:6abd761e-a7b6-496f-a027-1e8f1966d747_sentence.mp3],Unknown,Pimsleur,Persian5k::Verb
Kmc9)JSsHq,8197cc11-b2cc-430a-99c8-783a4d3aee52,2,102,67 | 29019,Pronoun,من,man,I,<b>من</b> لِیلا هستم.,Man Leylâ hastam.,I am Leyla.,[sound:8197cc11-b2cc-430a-99c8-783a4d3aee52_word.mp3],[sound:8197cc11-b2cc-430a-99c8-783a4d3aee52_sentence.mp3],Farsi School,Chai &amp; Conversation,Persian5k::Pronoun
so-<SGmg70,a877f72c-cba4-4bf2-a42b-8883aebeec30,3,233,84 | 6453,"Adjective, Noun",ایرانی,irâni,Iranian,من <b>ایرانی</b> هستم.,Man irâni hastam.,I am Iranian.,[sound:a877f72c-cba4-4bf2-a42b-8883aebeec30_word.mp3],[sound:a877f72c-cba4-4bf2-a42b-8883aebeec30_sentence.mp3],PersianPod101,PersianPod101,"Persian5k::Adjective, Persian5k::Noun, Persian5k::Topic::Nationalities"
r}:Tz28url,6d9d90b5-d949-4e26-a9d8-63b9d6eb6f58,4,1514,60 | 2368,"Interjection, Noun",سلام,salâm,"hello, hi;<br>greeting",<b>سلام</b>. من رُستَمی هستم.,Salâm. Man Rostami hastam.,Hello. I am Rostami.,[sound:6d9d90b5-d949-4e26-a9d8-63b9d6eb6f58_word.mp3],[sound:6d9d90b5-d949-4e26-a9d8-63b9d6eb6f58_sentence.mp3],Farsi School,PersianLanguageOnline,"Persian5k::Interjection, Persian5k::Topic::Greetings"
"hMy,C9*7rl",1443b5ca-1c80-4e86-841a-70282c32356b,5,1187,74 | 1877,Noun,اسم,esm,name,سلام. <b>اسم</b> من مریمه.,Salâm. Esm-e man maryam-e.,Hello. My name’s Maryam.,[sound:1443b5ca-1c80-4e86-841a-70282c32356b_word.mp3],[sound:1443b5ca-1c80-4e86-841a-70282c32356b_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
qR{b5]|6pL,34091c80-ded9-4b28-b001-4aa53ea8f6e2,6,510,63 | 8010,"Adjective, Adverb",خوب,xub,"good;<br>well, nicely",<b>خوب</b> نیستم.,Xub nistam.,I'm not good.,[sound:34091c80-ded9-4b28-b001-4aa53ea8f6e2_word.mp3],[sound:34091c80-ded9-4b28-b001-4aa53ea8f6e2_sentence.mp3],PersianPod101,PersianPod101,"Persian5k::Adjective, Persian5k::Adverb"
D09+7PI$Ap,24c590e6-7822-47ee-b37b-46b6632e4b3e,7,2587,63 | 861,Adverb,چطور,chetor,"how;<br>how about, what about",<b>چطور</b> هستی؟,Chetor hasti?,How are you?,[sound:24c590e6-7822-47ee-b37b-46b6632e4b3e_word.mp3],[sound:24c590e6-7822-47ee-b37b-46b6632e4b3e_sentence.mp3],Farsi School,Unknown,
:<b7oNE(j,1f82df18-5c74-4d59-bb94-6a3ad29a57d1,8,821,70 | 3635,Adverb,اینجا,injâ,here,من <b>اینجا</b> هستم.‬,Man injâ hastam.,I am here.,[sound:1f82df18-5c74-4d59-bb94-6a3ad29a57d1_word.mp3],[sound:1f82df18-5c74-4d59-bb94-6a3ad29a57d1_sentence.mp3],PersianPod101,Goethe Verlag,"Persian5k::Adverb, Persian5k::Topic::Location"
ha[0~h}I9Q,8ab303c1-285c-48c9-9034-0525121d3b99,9,381,53 | 14651,Pronoun,تو,to,"you (<i>informal, singular</i>)",‫<b>تو</b> اینجایی.,To injâ-yi.,You are here.,[sound:8ab303c1-285c-48c9-9034-0525121d3b99_word.mp3],[sound:8ab303c1-285c-48c9-9034-0525121d3b99_sentence.mp3],PersianLanguageOnline,Goethe Verlag,Persian5k::Pronoun
d1@]HZAK-6,yfa13a-3098-4450-8efa-33cae30c1aac,10,,,Pronoun,چی,či,what?,سلام. اسم من بابَکه. اسم تو <b>چی</b>ه؟,Salâm. Esm-e man bâbak-e. Esm-e to či-ye?,<div>Hello. My name’s Babak. What’s your name?</div><div></div>,[sound:118fa13a-3098-4450-8efa-33cae30c1aac_word.mp3],[sound:118fa13a-3098-4450-8efa-33cae30c1aac_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Pronoun
